date,state,total_enrollment,total_demographic_updates,total_biometric_updates
2025-06-01,Chandigarh,0,7637,5230
2025-06-01,Chhattisgarh,1263,379443,359914
2025-06-01,Dadra And Nagar Haveli And Daman And Diu,249,0,4118
2025-06-01,Delhi,8161,139698,131273
2025-06-01,Goa,0,0,7353
2025-06-01,Gujarat,12224,67427,437361
2025-06-01,Haryana,7641,111319,165272
2025-06-01,Himachal Pradesh,0,3888,38939
2025-06-01,Jammu And Kashmir,0,13108,79215
2025-06-01,Jharkhand,3324,0,198929
2025-06-01,Karnataka,11685,84681,337504
2025-06-01,Kerala,186,0,223183
2025-06-01,Ladakh,0,0,339
2025-06-01,Lakshadweep,0,0,574
2025-06-01,Madhya Pradesh,18154,203880,891131
2025-06-01,Maharashtra,10649,107102,1017490
2025-06-01,Manipur,603,0,11300
2025-06-01,Meghalaya,13561,0,10839
2025-06-01,Mizoram,311,2672,7384
2025-06-01,Nagaland,739,0,11325
2025-06-01,Odisha,0,0,272081
2025-06-01,Puducherry,0,0,6562
2025-06-01,Punjab,2742,43206,221505
2025-06-01,Rajasthan,6616,65449,416695
2025-06-01,Sikkim,0,0,875
2025-06-01,Tamil Nadu,1931,11415,511757
2025-06-01,Telangana,1516,54541,205116
2025-06-01,Tripura,167,0,32493
2025-06-01,Uttar Pradesh,48753,144904,856455
2025-06-01,Uttarakhand,294,21938,59777
2025-06-01,West Bengal,7271,88491,287702
2025-07-01,Andaman And Nicobar Islands,0,438,2828
2025-07-01,Andhra Pradesh,956,87491,334226
2025-07-01,Arunachal Pradesh,484,0,8442
2025-07-01,Assam,47873,44448,95172
2025-07-01,Bihar,59274,8517,604061
2025-07-01,Chandigarh,0,11580,32547
2025-07-01,Chhattisgarh,7587,163927,346567
2025-07-01,Dadra And Nagar Haveli And Daman And Diu,467,0,4825
2025-07-01,Delhi,18784,186243,167224
2025-07-01,Goa,42,0,7400
2025-07-01,Gujarat,60833,89482,541874
2025-07-01,Haryana,6752,144532,267325
2025-07-01,Himachal Pradesh,114,827,48414
2025-07-01,Jammu And Kashmir,950,25589,102251
2025-07-01,Jharkhand,11233,0,256798
2025-07-01,Karnataka,15263,77760,374362
2025-07-01,Kerala,474,0,231320
2025-07-01,Ladakh,0,0,652
2025-07-01,Lakshadweep,0,0,608
2025-07-01,Madhya Pradesh,63188,336817,1004035
2025-07-01,Maharashtra,54767,133381,1230369
2025-07-01,Manipur,1626,0,86754
2025-07-01,Meghalaya,23909,0,14360
2025-07-01,Mizoram,875,430,8161
2025-07-01,Nagaland,4169,0,13864
2025-07-01,Odisha,529,8622,325308
2025-07-01,Puducherry,0,2012,8005
2025-07-01,Punjab,8511,120896,277717
2025-07-01,Rajasthan,28786,138009,650116
2025-07-01,Sikkim,431,0,1150
2025-07-01,Tamil Nadu,972,22931,552778
2025-07-01,Telangana,8581,101697,226619
2025-07-01,Tripura,665,0,30667
2025-07-01,Uttar Pradesh,157866,329067,1426001
2025-07-01,Uttarakhand,2363,38194,83007
2025-07-01,West Bengal,28544,147825,419961
2025-09-01,Andaman And Nicobar Islands,27,106,175
2025-09-01,Andhra Pradesh,2254,18855,11081
2025-09-01,Arunachal Pradesh,118,750,241
2025-09-01,Assam,3629,14497,4476
2025-09-01,Bihar,7948,60237,24590
2025-09-01,Chandigarh,19,228,290
2025-09-01,Chhattisgarh,1378,12429,12543
2025-09-01,Dadra And Nagar Haveli And Daman And Diu,21,93,268
2025-09-01,Delhi,864,4457,6098
2025-09-01,Goa,33,378,534
2025-09-01,Gujarat,3633,13372,18978
2025-09-01,Haryana,1079,5365,8236
2025-09-01,Himachal Pradesh,110,1771,1225
2025-09-01,Jammu And Kashmir,787,2915,3451
2025-09-01,Jharkhand,2832,18215,12403
2025-09-01,Karnataka,3693,13518,12728
2025-09-01,Kerala,1171,8851,9956
2025-09-01,Ladakh,15,29,26
2025-09-01,Lakshadweep,1,10,15
2025-09-01,Madhya Pradesh,6305,16332,33590
2025-09-01,Maharashtra,3693,15565,32186
2025-09-01,Manipur,190,1146,980
2025-09-01,Meghalaya,680,1365,417
2025-09-01,Mizoram,54,296,302
2025-09-01,Nagaland,123,306,466
2025-09-01,Odisha,3540,14114,16992
2025-09-01,Puducherry,104,369,720
2025-09-01,Punjab,618,5611,5940
2025-09-01,Rajasthan,4823,15688,24299
2025-09-01,Sikkim,25,169,43
2025-09-01,Tamil Nadu,3916,19299,18750
2025-09-01,Telangana,2495,13961,10802
2025-09-01,Tripura,250,1416,1267
2025-09-01,Uttar Pradesh,12436,78893,42067
2025-09-01,Uttarakhand,293,2152,2883
2025-09-01,West Bengal,5780,71193,17203
2025-09-02,Andaman And Nicobar Islands,10,87,184
2025-09-02,Andhra Pradesh,2275,19419,14077
2025-09-02,Arunachal Pradesh,122,834,377
2025-09-02,Assam,3619,13176,4941
2025-09-02,Bihar,8425,71082,16042
2025-09-02,Chandigarh,20,313,180
2025-09-02,Chhattisgarh,1432,12657,7663
2025-09-02,Dadra And Nagar Haveli And Daman And Diu,20,194,248
2025-09-02,Delhi,832,5068,3693
2025-09-02,Goa,37,389,203
2025-09-02,Gujarat,3551,19281,13740
2025-09-02,Haryana,885,5611,7004
2025-09-02,Himachal Pradesh,90,1602,1046
2025-09-02,Jammu And Kashmir,582,2829,2804
2025-09-02,Jharkhand,2521,14010,12488
2025-09-02,Karnataka,3449,14401,15474
2025-09-02,Kerala,1132,7233,10770
2025-09-02,Ladakh,10,26,4
2025-09-02,Lakshadweep,1,19,14
2025-09-02,Madhya Pradesh,6759,18414,26670
2025-09-02,Maharashtra,4528,15546,43062
2025-09-02,Manipur,207,1563,1904
2025-09-02,Meghalaya,577,869,486
2025-09-02,Mizoram,63,298,655
2025-09-02,Nagaland,153,321,592
2025-09-02,Odisha,2561,9040,15936
2025-09-02,Puducherry,84,220,691
2025-09-02,Punjab,699,3660,5042
2025-09-02,Rajasthan,4825,10272,17371
2025-09-02,Sikkim,25,250,34
2025-09-02,Tamil Nadu,3766,21639,17247
2025-09-02,Telangana,2533,18372,10710
2025-09-02,Tripura,250,1628,1193
2025-09-02,Uttar Pradesh,14088,71735,43790
2025-09-02,Uttarakhand,255,1821,2221
2025-09-02,West Bengal,6051,71000,18932
2025-09-03,Andaman And Nicobar Islands,12,107,174
2025-09-03,Andhra Pradesh,2166,17560,17845
2025-09-03,Arunachal Pradesh,94,765,627
2025-09-03,Assam,2654,9043,4826
2025-09-03,Bihar,7538,62640,21673
2025-09-03,Chandigarh,15,319,157
2025-09-03,Chhattisgarh,1271,10752,9720
2025-09-03,Dadra And Nagar Haveli And Daman And Diu,27,63,270
2025-09-03,Delhi,759,3350,4555
2025-09-03,Goa,35,358,236
2025-09-03,Gujarat,3348,13271,15285
2025-09-03,Haryana,942,4871,7463
2025-09-03,Himachal Pradesh,121,1238,902
2025-09-03,Jammu And Kashmir,281,1222,1392
2025-09-03,Jharkhand,1006,6616,2482
2025-09-03,Karnataka,3041,10592,11953
2025-09-03,Kerala,1001,5667,7733
2025-09-03,Ladakh,0,10,3
2025-09-03,Lakshadweep,3,13,11
2025-09-03,Madhya Pradesh,5645,12963,24044
2025-09-03,Maharashtra,4955,15818,37959
2025-09-03,Manipur,149,1224,1441
2025-09-03,Meghalaya,507,817,339
2025-09-03,Mizoram,56,302,314
2025-09-03,Nagaland,110,270,461
2025-09-03,Odisha,2390,8672,11537
2025-09-03,Puducherry,65,233,664
2025-09-03,Punjab,749,4335,6819
2025-09-03,Rajasthan,5463,13782,32012
2025-09-03,Sikkim,24,231,55
2025-09-03,Tamil Nadu,3633,17343,15561
2025-09-03,Telangana,2555,9615,9395
2025-09-03,Tripura,217,894,1140
2025-09-03,Uttar Pradesh,14438,47704,44034
2025-09-03,Uttarakhand,495,1528,3214
2025-09-03,West Bengal,6182,30264,17121
2025-09-04,Andaman And Nicobar Islands,17,57,135
2025-09-04,Andhra Pradesh,1862,12846,11621
2025-09-04,Arunachal Pradesh,109,579,583
2025-09-04,Assam,2879,10506,6806
2025-09-04,Bihar,6117,66361,22146
2025-09-04,Chandigarh,34,459,273
2025-09-04,Chhattisgarh,989,9204,10871
2025-09-04,Dadra And Nagar Haveli And Daman And Diu,11,143,221
2025-09-04,Delhi,895,4376,6293
2025-09-04,Goa,38,350,339
2025-09-04,Gujarat,2393,12182,13652
2025-09-04,Haryana,802,4117,7116
2025-09-04,Himachal Pradesh,124,1306,1278
2025-09-04,Jammu And Kashmir,447,1526,2677
2025-09-04,Jharkhand,1190,4808,4240
2025-09-04,Karnataka,2949,6828,12962
2025-09-04,Kerala,269,866,1786
2025-09-04,Ladakh,10,25,19
2025-09-04,Lakshadweep,2,3,6
2025-09-04,Madhya Pradesh,5698,14018,29386
2025-09-04,Maharashtra,4557,20020,46436
2025-09-04,Manipur,171,974,1719
2025-09-04,Meghalaya,491,1101,435
2025-09-04,Mizoram,51,373,441
2025-09-04,Nagaland,98,355,503
2025-09-04,Odisha,2570,10100,14632
2025-09-04,Puducherry,65,267,794
2025-09-04,Punjab,730,5420,6260
2025-09-04,Rajasthan,5152,13955,19994
2025-09-04,Sikkim,29,140,35
2025-09-04,Tamil Nadu,2750,16974,9702
2025-09-04,Telangana,2372,20476,6580
2025-09-04,Tripura,192,1986,955
2025-09-04,Uttar Pradesh,12947,85767,40630
2025-09-04,Uttarakhand,467,2755,3046
2025-09-04,West Bengal,5825,52183,16241
2025-09-05,Andaman And Nicobar Islands,5,57,111
2025-09-05,Andhra Pradesh,778,7470,3660
2025-09-05,Arunachal Pradesh,69,760,421
2025-09-05,Assam,2342,12200,4609
2025-09-05,Bihar,2474,64303,5586
2025-09-05,Chandigarh,39,252,232
2025-09-05,Chhattisgarh,467,3549,3138
2025-09-05,Dadra And Nagar Haveli And Daman And Diu,4,58,67
2025-09-05,Delhi,234,2816,1431
2025-09-05,Goa,24,225,230
2025-09-05,Gujarat,173,3967,804
2025-09-05,Haryana,1047,4830,7850
2025-09-05,Himachal Pradesh,225,1807,1445
2025-09-05,Jammu And Kashmir,375,1311,1662
2025-09-05,Jharkhand,676,5474,1356
2025-09-05,Karnataka,605,5099,3174
2025-09-05,Kerala,5,99,32
2025-09-05,Ladakh,5,14,3
2025-09-05,Madhya Pradesh,846,6565,1976
2025-09-05,Maharashtra,827,9440,6915
2025-09-05,Manipur,114,1832,716
2025-09-05,Meghalaya,496,1446,422
2025-09-05,Mizoram,28,85,160
2025-09-05,Nagaland,82,303,258
2025-09-05,Odisha,1480,9466,7092
2025-09-05,Puducherry,3,171,383
2025-09-05,Punjab,839,8512,7744
2025-09-05,Rajasthan,2531,12700,13023
2025-09-05,Sikkim,12,174,42
2025-09-05,Tamil Nadu,187,4784,932
2025-09-05,Telangana,452,5478,2452
2025-09-05,Tripura,19,427,139
2025-09-05,Uttar Pradesh,4305,50133,8673
2025-09-05,Uttarakhand,169,2132,937
2025-09-05,West Bengal,4115,45687,8042
2025-09-06,Andaman And Nicobar Islands,0,22,8
2025-09-06,Andhra Pradesh,1987,21544,13091
2025-09-06,Arunachal Pradesh,58,412,162
2025-09-06,Assam,2737,13051,5699
2025-09-06,Bihar,6923,88310,19454
2025-09-06,Chandigarh,35,275,148
2025-09-06,Chhattisgarh,1139,11144,7998
2025-09-06,Dadra And Nagar Haveli And Daman And Diu,4,156,122
2025-09-06,Delhi,1017,5197,6654
2025-09-06,Goa,16,231,193
2025-09-06,Gujarat,1652,9077,9917
2025-09-06,Haryana,928,2671,5016
2025-09-06,Himachal Pradesh,217,1323,1172
2025-09-06,Jammu And Kashmir,446,1443,1717
2025-09-06,Jharkhand,2374,6085,6584
2025-09-06,Karnataka,2894,9061,7833
2025-09-06,Kerala,142,578,798
2025-09-06,Ladakh,5,15,12
2025-09-06,Lakshadweep,2,7,13
2025-09-06,Madhya Pradesh,3912,8606,15306
2025-09-06,Maharashtra,1987,6014,16285
2025-09-06,Manipur,172,1209,715
2025-09-06,Meghalaya,67,154,123
2025-09-06,Mizoram,32,51,157
2025-09-06,Nagaland,60,168,389
2025-09-06,Odisha,2736,10815,12521
2025-09-06,Puducherry,26,233,548
2025-09-06,Punjab,804,4743,5165
2025-09-06,Rajasthan,4150,9419,23363
2025-09-06,Sikkim,3,36,13
2025-09-06,Tamil Nadu,2709,15324,17294
2025-09-06,Telangana,1732,10982,8347
2025-09-06,Tripura,130,1323,929
2025-09-06,Uttar Pradesh,11261,75656,44354
2025-09-06,Uttarakhand,502,2639,4624
2025-09-06,West Bengal,6057,50115,17598
2025-09-07,Andaman And Nicobar Islands,0,4,0
2025-09-07,Andhra Pradesh,171,1027,494
2025-09-07,Arunachal Pradesh,58,278,88
2025-09-07,Assam,650,2248,841
2025-09-07,Bihar,1541,20385,1661
2025-09-07,Chandigarh,16,68,61
2025-09-07,Chhattisgarh,173,954,1689
2025-09-07,Dadra And Nagar Haveli And Daman And Diu,0,12,18
2025-09-07,Delhi,250,1199,1332
2025-09-07,Goa,2,12,10
2025-09-07,Gujarat,89,1001,566
2025-09-07,Haryana,156,1090,352
2025-09-07,Himachal Pradesh,20,161,61
2025-09-07,Jammu And Kashmir,33,191,169
2025-09-07,Jharkhand,645,2375,1131
2025-09-07,Karnataka,549,2028,2638
2025-09-07,Kerala,14,77,72
2025-09-07,Ladakh,1,4,4
2025-09-07,Lakshadweep,0,0,8
2025-09-07,Madhya Pradesh,496,1636,598
2025-09-07,Maharashtra,488,2427,2615
2025-09-07,Manipur,43,743,389
2025-09-07,Meghalaya,4,22,12
2025-09-07,Mizoram,3,8,19
2025-09-07,Nagaland,24,51,32
2025-09-07,Odisha,112,1075,523
2025-09-07,Puducherry,2,13,17
2025-09-07,Punjab,51,436,244
2025-09-07,Rajasthan,1592,3808,4293
2025-09-07,Tamil Nadu,280,2241,1075
2025-09-07,Telangana,106,2103,487
2025-09-07,Tripura,13,122,105
2025-09-07,Uttar Pradesh,4260,26537,7037
2025-09-07,Uttarakhand,89,770,510
2025-09-07,West Bengal,2718,13915,3773
2025-09-08,Andaman And Nicobar Islands,13,90,182
2025-09-08,Andhra Pradesh,2461,9355,12174
2025-09-08,Arunachal Pradesh,108,662,446
2025-09-08,Assam,3453,11570,5536
2025-09-08,Bihar,7869,91574,19911
2025-09-08,Chandigarh,45,381,130
2025-09-08,Chhattisgarh,1801,18356,12449
2025-09-08,Dadra And Nagar Haveli And Daman And Diu,24,160,310
2025-09-08,Delhi,947,4729,5914
2025-09-08,Goa,53,465,281
2025-09-08,Gujarat,2854,15643,16011
2025-09-08,Haryana,1489,7003,9706
2025-09-08,Himachal Pradesh,322,3161,1558
2025-09-08,Jammu And Kashmir,671,3654,2708
2025-09-08,Jharkhand,2830,21841,11413
2025-09-08,Karnataka,3683,20465,14165
2025-09-08,Kerala,1279,11567,9673
2025-09-08,Ladakh,8,60,14
2025-09-08,Lakshadweep,3,26,39
2025-09-08,Madhya Pradesh,7779,28069,40576
2025-09-08,Maharashtra,5346,24910,62193
2025-09-08,Manipur,130,1951,1123
2025-09-08,Meghalaya,516,1169,488
2025-09-08,Mizoram,44,374,333
2025-09-08,Nagaland,120,471,669
2025-09-08,Odisha,3602,13786,16220
2025-09-08,Puducherry,54,411,1023
2025-09-08,Punjab,1194,7560,10733
2025-09-08,Rajasthan,6437,19574,60826
2025-09-08,Sikkim,14,154,34
2025-09-08,Tamil Nadu,3911,23228,21815
2025-09-08,Telangana,2861,21942,10108
2025-09-08,Tripura,200,1969,947
2025-09-08,Uttar Pradesh,14051,113120,44984
2025-09-08,Uttarakhand,695,3668,4007
2025-09-08,West Bengal,6416,52207,16793
2025-09-09,Andaman And Nicobar Islands,13,83,232
2025-09-09,Andhra Pradesh,2290,17484,13499
2025-09-09,Arunachal Pradesh,117,798,486
2025-09-09,Assam,3039,10494,7123
2025-09-09,Bihar,8259,90778,25357
2025-09-09,Chandigarh,46,417,270
2025-09-09,Chhattisgarh,1953,15270,13908
2025-09-09,Dadra And Nagar Haveli And Daman And Diu,37,158,393
2025-09-09,Delhi,905,4945,6014
2025-09-09,Goa,39,434,340
2025-09-09,Gujarat,3339,17503,17324
2025-09-09,Haryana,1525,5841,9667
2025-09-09,Himachal Pradesh,351,2599,1670
2025-09-09,Jammu And Kashmir,716,2981,3562
2025-09-09,Jharkhand,2852,19249,12587
2025-09-09,Karnataka,3556,16601,12849
2025-09-09,Kerala,1315,11204,9048
2025-09-09,Ladakh,6,31,12
2025-09-09,Lakshadweep,3,5,19
2025-09-09,Madhya Pradesh,8620,23206,32745
2025-09-09,Maharashtra,6043,25944,59010
2025-09-09,Manipur,105,1965,1452
2025-09-09,Meghalaya,555,1231,474
2025-09-09,Mizoram,99,338,294
2025-09-09,Nagaland,114,440,552
2025-09-09,Odisha,3208,12633,14897
2025-09-09,Puducherry,88,391,813
2025-09-09,Punjab,1198,7236,8012
2025-09-09,Rajasthan,7636,21027,57795
2025-09-09,Sikkim,10,143,61
2025-09-09,Tamil Nadu,3791,24735,21466
2025-09-09,Telangana,2995,22843,11175
2025-09-09,Tripura,223,1953,861
2025-09-09,Uttar Pradesh,16131,93572,45970
2025-09-09,Uttarakhand,737,3733,4354
2025-09-09,West Bengal,6527,49897,18633
2025-09-10,Andaman And Nicobar Islands,12,19,249
2025-09-10,Andhra Pradesh,2038,10220,18064
2025-09-10,Arunachal Pradesh,73,470,634
2025-09-10,Assam,2931,11066,9031
2025-09-10,Bihar,7705,92446,31832
2025-09-10,Chandigarh,48,260,308
2025-09-10,Chhattisgarh,1576,14083,15355
2025-09-10,Dadra And Nagar Haveli And Daman And Diu,22,111,353
2025-09-10,Delhi,910,5010,6171
2025-09-10,Goa,51,443,317
2025-09-10,Gujarat,3923,18531,18015
2025-09-10,Haryana,1388,8323,7486
2025-09-10,Himachal Pradesh,327,3360,1435
2025-09-10,Jammu And Kashmir,683,3698,2587
2025-09-10,Jharkhand,2620,19689,9130
2025-09-10,Karnataka,3349,14371,9367
2025-09-10,Kerala,1201,9198,6976
2025-09-10,Ladakh,24,29,18
2025-09-10,Lakshadweep,3,29,32
2025-09-10,Madhya Pradesh,8260,26197,20066
2025-09-10,Maharashtra,5857,31582,53688
2025-09-10,Manipur,171,2151,1791
2025-09-10,Meghalaya,446,1616,433
2025-09-10,Mizoram,77,485,261
2025-09-10,Nagaland,83,529,493
2025-09-10,Odisha,2940,15384,12973
2025-09-10,Puducherry,66,358,712
2025-09-10,Punjab,1297,6210,6954
2025-09-10,Rajasthan,7692,18457,45755
2025-09-10,Sikkim,9,96,90
2025-09-10,Tamil Nadu,3796,20207,20638
2025-09-10,Telangana,2801,16170,13538
2025-09-10,Tripura,160,1273,1214
2025-09-10,Uttar Pradesh,14660,84427,50711
2025-09-10,Uttarakhand,711,3029,4250
2025-09-10,West Bengal,6354,43396,16977
2025-09-11,Andaman And Nicobar Islands,6,69,166
2025-09-11,Andhra Pradesh,1798,14451,12714
2025-09-11,Arunachal Pradesh,77,568,400
2025-09-11,Assam,2421,7158,6448
2025-09-11,Bihar,6685,59201,21886
2025-09-11,Chandigarh,47,361,279
2025-09-11,Chhattisgarh,1293,12549,12268
2025-09-11,Dadra And Nagar Haveli And Daman And Diu,39,193,470
2025-09-11,Delhi,833,4810,6206
2025-09-11,Goa,38,413,284
2025-09-11,Gujarat,3737,18041,18376
2025-09-11,Haryana,1041,5761,8965
2025-09-11,Himachal Pradesh,229,2025,1900
2025-09-11,Jammu And Kashmir,500,1910,2831
2025-09-11,Jharkhand,2283,11064,11169
2025-09-11,Karnataka,3133,10259,12220
2025-09-11,Kerala,1155,6856,8061
2025-09-11,Ladakh,3,33,5
2025-09-11,Lakshadweep,7,13,14
2025-09-11,Madhya Pradesh,6707,19316,30870
2025-09-11,Maharashtra,5454,18457,66666
2025-09-11,Manipur,167,1203,1765
2025-09-11,Meghalaya,397,845,363
2025-09-11,Mizoram,39,218,218
2025-09-11,Nagaland,79,235,593
2025-09-11,Odisha,2610,9810,13211
2025-09-11,Puducherry,36,431,697
2025-09-11,Punjab,1139,7340,8671
2025-09-11,Rajasthan,6326,16813,53989
2025-09-11,Sikkim,10,138,71
2025-09-11,Tamil Nadu,3472,23364,19602
2025-09-11,Telangana,2255,10168,10443
2025-09-11,Tripura,183,719,996
2025-09-11,Uttar Pradesh,12420,59991,58557
2025-09-11,Uttarakhand,564,3761,4142
2025-09-11,West Bengal,5986,48812,16841
2025-09-12,Andaman And Nicobar Islands,5,56,177
2025-09-12,Andhra Pradesh,2031,14145,13100
2025-09-12,Arunachal Pradesh,65,565,391
2025-09-12,Assam,1875,4697,4494
2025-09-12,Bihar,7306,46931,23784
2025-09-12,Chandigarh,36,264,230
2025-09-12,Chhattisgarh,1712,8829,13412
2025-09-12,Dadra And Nagar Haveli And Daman And Diu,28,104,579
2025-09-12,Delhi,845,3318,6186
2025-09-12,Goa,46,318,260
2025-09-12,Gujarat,3573,14444,18323
2025-09-12,Haryana,1222,5222,8909
